"Date","Prain","Psnow","SWE","Msnow","Total","Rech","Eac","SM","Qg","Q0","Q1","Q2","STZ","SUZ","SLZ","q_sim","year","WB"
1981-01-01,0,4.49159999999952,4.49159999999952,0,0,0,1.29911689591259,48.7008831040874,0,0,0,0,0,0,0,0,"1981",-1.29911689591259
1981-01-02,0,14.5894199999964,19.0810199999959,0,0,0,1.18899091608858,47.5118921879988,0,0,0,0,0,0,0,0,"1981",-1.18899091608858
1981-01-03,0,0.719759999999998,19.8007799999959,0,0,0,1.3371427956481,46.1747493923507,0,0,0,0,0,0,0,0,"1981",-1.3371427956481
1981-01-04,0,7.44695999999868,27.2477399999946,0,0,0,0.900050529073387,45.2746988632773,0,0,0,0,0,0,0,0,"1981",-0.900050529073387
1981-01-05,0,0.0134999999999994,27.2612399999946,0,0,0,1.01677267418755,44.2579261890898,0,0,0,0,0,0,0,0,"1981",-1.01677267418755
1981-01-06,0,0.0017099999999994,27.2629499999946,0,0,0,1.13399311133858,43.1239330777512,0,0,0,0,0,0,0,0,"1981",-1.13399311133858
1981-01-07,0,0,27.2629499999946,0,0,0,1.44452721800617,41.6794058597451,0,0,0,0,0,0,0,0,"1981",-1.44452721800617
1981-01-08,0,0.000599999999999999,27.2635499999946,0,0,0,1.45719462362383,40.2222112361212,0,0,0,0,0,0,0,0,"1981",-1.45719462362383
1981-01-09,0,0,27.2635499999946,0,0,0,1.43687006590864,38.7853411702126,0,0,0,0,0,0,0,0,"1981",-1.43687006590864
1981-01-10,0,0,27.2635499999946,0,0,0,1.34846698160226,37.4368741886103,0,0,0,0,0,0,0,0,"1981",-1.34846698160226
1981-01-11,0,0.00072,27.2642699999946,0,0,0,1.46596167880737,35.970912509803,0,0,0,0,0,0,0,0,"1981",-1.46596167880737
1981-01-12,0.00391199999999976,0,27.2642699999946,0,0.00391199999999976,0.00240287618596031,1.50692286585465,34.4654987677623,0,0,0,0,0.00240287618596031,0,0,0,"1981",-1.50301086585465
1981-01-13,0,0.561149999999999,27.8254199999946,0,0,0,1.35556140389963,33.1099373638627,0,0,0,0,0,0.00240287618596031,0,0,"1981",-1.35556140389963
1981-01-14,0,11.7309599999971,39.5563799999917,0,0,0,0.984367370631556,32.1255699932312,2.40287618596031e-05,0,0,2.40287618596031e-05,0,0,0.00237884742410071,0,"1981",-0.984367370631556
1981-01-15,0,9.83996999999808,49.3963499999898,0,0,0,1.21937418233135,30.9061958108998,2.37884742410071e-05,0,0,2.37884742410071e-05,0,0,0.0023550589498597,0,"1981",-1.21937418233135
1981-01-16,0,10.9099799999976,60.3063299999874,0,0,0,0.980857810515123,29.9253380003847,2.3550589498597e-05,0,0,2.3550589498597e-05,0,0,0.0023315083603611,0,"1981",-0.980857810515123
1981-01-17,0,0.0026099999999997,60.3089399999874,0,0,0,1.63208013040037,28.2932578699843,2.3315083603611e-05,0,0,2.3315083603611e-05,0,0,0.00230819327675749,0,"1981",-1.63208013040037
1981-01-18,0.00024,0,57.2120024999873,3.09693750000005,3.09717750000005,1.33346391213745,1.81998793353587,28.236983524311,2.30819327675749e-05,0,0,2.30819327675749e-05,1.33346391213745,0,0.00228511134398992,0,"1981",-1.81974793353587
1981-01-19,0,0,48.9452024999873,8.26680000000004,8.26680000000004,3.54872960026393,1.82102641704176,31.1340275070054,2.28511134398992e-05,0,0,2.28511134398992e-05,3.54872960026393,1.33346391213745,0.00226226023055002,0,"1981",-1.82102641704176
1981-01-20,0,0,48.3040274999872,0.641175000000055,0.641175000000055,0.31804547800844,1.51003171418861,29.9471253148084,1.27160294416598,0.433387539136183,0.83669278242749,0.0015226226023055,0.433387539136183,3.34677112970996,0.150739637628245,1,"1981",-1.51003171418861
1981-01-21,0,0,48.3040274999872,0,0,0,1.37614895816053,28.5709763566479,0.729039130145511,0,0.726031733769229,0.00300739637628245,0,2.90412693507691,0.297732241251962,0.85,"1981",-1.37614895816053
1981-01-22,0,4.68035999999952,52.9843874999868,0,0,0,1.40167107385775,27.1693052827901,0.555302709427902,0,0.550825387015383,0.00447732241251962,0,2.20330154806153,0.443254918839442,0.59,"1981",-1.40167107385775
1981-01-23,0,0.385349999999998,53.3697374999868,0,0,0,0.897561912484873,26.2717433703052,0.416592858800701,0,0.410660309612306,0.00593254918839442,0,1.64264123844923,0.587322369651048,0.45,"1981",-0.897561912484873
1981-01-24,0,0.0086699999999997,53.3784074999868,0,0,0,0.97405350897019,25.2976898613351,0.305901471386356,0,0.298528247689845,0.00737322369651048,0,1.19411299075938,0.729949145954538,0.33,"1981",-0.97405350897019
1981-01-25,0,0.00039,53.3787974999868,0,0,0,1.37776790353528,23.9199219577998,0.217622089611421,0,0.208822598151876,0.00879949145954538,0,0.835290392607504,0.871149654494992,0.24,"1981",-1.37776790353528
1981-01-26,0,5.22762,58.6064174999868,0,0,0,1.28716588160542,22.6327560761944,0.147269575066451,0,0.137058078521501,0.0102114965449499,0,0.548232314086003,1.01093815795004,0.16,"1981",-1.28716588160542
