"Date","Prain","Psnow","SWE","Msnow","Total","Rech","Eac","SM","Qg","Q0","Q1","Q2","STZ","SUZ","SLZ","q_sim","year","WB"
1981-01-01,0,0,0,0,0,0,3.00526601636603,46.994733983634,0,0,0,0,0,0,0,0,"1981",-3.00526601636603
1981-01-02,0.100704,0,0,0,0.100704,0.0918763903605708,3.04117780415465,43.9623837891188,0,0,0,0,0.0918763903605708,0,0,0,"1981",-2.94047380415465
1981-01-03,0,0,0,0,0,0,2.91354015841009,41.0488436307087,0,0,0,0,0,0.0918763903605708,0,0,"1981",-2.91354015841009
1981-01-04,0.49848,0,0,0,0.49848,0.372269541371883,2.92193233075375,38.253121758583,0.000918763903605708,0,0,0.000918763903605708,0.372269541371883,0,0.0909576264569651,0,"1981",-2.42345233075375
1981-01-05,0.0230159999999998,0,0,0,0.0230159999999998,0.0154846441383194,3.17970909789095,35.0809440165538,0.000909576264569651,0,0,0.000909576264569651,0.0154846441383194,0.372269541371883,0.0900480501923955,0,"1981",-3.15669309789095
1981-01-06,0,0,0,0,0,0,3.03393442124735,32.0470095953064,0.0499513176039645,0,0.0475508371020405,0.00240048050192395,0,0.190203348408162,0.237647569690472,0.04,"1981",-3.03393442124735
1981-01-07,0,0,0,0,0,0,2.95756968697137,29.089439908335,0.0119171453785372,0,0.00804066968163243,0.00387647569690472,0,0.0321626787265297,0.383771093993567,0.02,"1981",-2.95756968697137
1981-01-08,0,0,0,0,0,0,3.15079150811016,25.9386484002249,0.00415933772720097,0,0,0.00415933772720097,0,0,0.411774434992896,0.01,"1981",-3.15079150811016
1981-01-09,0,0,0,0,0,0,2.76374427408052,23.1749041261443,0.00411774434992896,0,0,0.00411774434992896,0,0,0.407656690642967,0,"1981",-2.76374427408052
1981-01-10,0,0,0,0,0,0,2.74903858910272,20.4258655370416,0.00407656690642967,0,0,0.00407656690642967,0,0,0.403580123736537,0,"1981",-2.74903858910272
1981-01-11,0,0,0,0,0,0,2.94247047846323,17.4833950585784,0.00403580123736537,0,0,0.00403580123736537,0,0,0.399544322499172,0,"1981",-2.94247047846323
1981-01-12,0,0,0,0,0,0,3.44743717695567,14.0359578816227,0.00399544322499172,0,0,0.00399544322499172,0,0,0.39554887927418,0,"1981",-3.44743717695567
1981-01-13,0.275448,0,0,0,0.275448,0.0420225362323853,3.01018427152183,11.2591990738685,0.0039554887927418,0,0,0.0039554887927418,0.0420225362323853,0,0.391593390481438,0,"1981",-2.73473627152182
1981-01-14,2.41120799999971,0,0,0,2.41120799999971,0.265454545555804,2.12285080505729,11.2821017232551,0.00391593390481438,0,0,0.00391593390481438,0.265454545555804,0.0420225362323853,0.387677456576624,0,"1981",0.28835719494242
1981-01-15,0.918071999999999,0,0,0,0.918071999999999,0.101376747209188,0.751180067538693,11.3476169085073,0.00429699992809009,0,0,0.00429699992809009,0.101376747209188,0.265454545555804,0.425402992880919,0,"1981",0.166891932461306
1981-01-16,0.594263999999999,0,0,0,0.594263999999999,0.0661854796791548,1.15869003762506,10.717005391203,0.0491202884818076,0,0.0433662585529984,0.00575402992880919,0.0661854796791548,0.173465034211994,0.56964896295211,0.04,"1981",-0.564426037625058
1981-01-17,0,0,0,0,0,0,1.94217359268095,8.77483179852209,0.0251265924077508,0,0.0179301027782297,0.0071964896295211,0,0.0717204111129188,0.712452473322589,0.03,"1981",-1.94217359268095
1981-01-18,0,0,0,0,0,0,1.84966189898345,6.92516989953864,0.00784172884435507,0,0,0.00784172884435507,0,0,0.776331155591152,0.01,"1981",-1.84966189898345
1981-01-19,0,0,0,0,0,0,1.52583119223116,5.39933870730748,0.00776331155591152,0,0,0.00776331155591152,0,0,0.768567844035241,0.01,"1981",-1.52583119223116
1981-01-20,0.0123599999999995,0,0,0,0.0123599999999995,0.000458571342778321,1.30181863834462,4.10942149762007,0.00768567844035241,0,0,0.00768567844035241,0.000458571342778321,0,0.760882165594889,0.01,"1981",-1.28945863834462
1981-01-21,0,0,0,0,0,0,0.87983448081158,3.22958701680849,0.00760882165594889,0,0,0.00760882165594889,0,0.000458571342778321,0.75327334393894,0.01,"1981",-0.87983448081158
1981-01-22,0.00278399999999976,0,0,0,0.00278399999999976,4.82759879785674e-05,0.8467322291895,2.38559051163101,0.00753731915281718,0,0,0.00753731915281718,4.82759879785674e-05,0,0.746194596128901,0.01,"1981",-0.8439482291895
1981-01-23,0.00071999999999976,0,0,0,0.00071999999999976,7.9744147605938e-06,0.501356385954701,1.88494615126155,0.00746194596128901,0,0,0.00746194596128901,7.9744147605938e-06,4.82759879785674e-05,0.738732650167612,0.01,"1981",-0.500636385954701
1981-01-24,0,0,0,0,0,0,0.404676044214589,1.48027010704696,0.0073878092615559,0,0,0.0073878092615559,0,7.9744147605938e-06,0.731393116894034,0.01,"1981",-0.404676044214589
1981-01-25,0,0,0,0,0,0,0.333994135765042,1.14627597128192,0.00731401091308795,0,0,0.00731401091308795,0,0,0.724087080395707,0.01,"1981",-0.333994135765042
1981-01-26,0.336719999999999,0,0,0,0.336719999999999,0.00126049551723157,0.268237440602389,1.2134980351623,0.00724087080395707,0,0,0.00724087080395707,0.00126049551723157,0,0.71684620959175,0.01,"1981",0.0684825593976103
1981-01-27,0.904943999999999,0,0,0,0.904943999999999,0.00368573352680218,0.294538803557972,1.82021749807753,0.0071684620959175,0,0,0.0071684620959175,0.00368573352680218,0.00126049551723157,0.709677747495832,0.01,"1981",0.610405196442027
1981-01-28,1.999536,0,0,0,1.999536,0.0148400745632556,0.385221859534925,3.41969156397934,0.00710938243013064,0,0,0.00710938243013064,0.0148400745632556,0.00368573352680218,0.703828860582933,0.01,"1981",1.61431414046507
1981-01-29,1.91385599999923,0,0,0,1.91385599999923,0.0361188836139411,0.47932352285934,4.81810515750529,0.00707514594109736,0,0,0.00707514594109736,0.0361188836139411,0.0148400745632556,0.700439448168638,0.01,"1981",1.43453247713989
1981-01-30,0.000888,0,0,0,0.000888,2.78351935542881e-05,0.951697178040815,3.86726814427092,0.00715279522731894,0,0,0.00715279522731894,2.78351935542881e-05,0.0361188836139411,0.708126727504575,0.01,"1981",-0.950809178040815
1981-01-31,0,0,0,0,0,0,0.739519506061246,3.12774863820968,0.00744245611118516,0,0,0.00744245611118516,0,2.78351935542881e-05,0.736803155007331,0.01,"1981",-0.739519506061246
1981-02-01,0.0254639999999998,0,0,0,0.0254639999999998,0.000421108635915614,1.01813074657334,2.13466078300043,0.00736830990200885,0,0,0.00736830990200885,0.000421108635915614,0,0.729462680298876,0.01,"1981",-0.992666746573337
1981-02-02,8.32288799999846,0,0,0,8.32288799999846,0.0781997156422338,0.343259417699606,10.036089649657,0.00729462680298876,0,0,0.00729462680298876,0.0781997156422338,0.000421108635915614,0.722168053495888,0.01,"1981",7.97962858229886
1981-02-03,0.780071999999999,0,0,0,0.780071999999999,0.0724393576592114,2.64212273710331,8.10159955489452,0.00722589162131803,0,0,0.00722589162131803,0.0724393576592114,0.0781997156422338,0.715363270510485,0.01,"1981",-1.86205073710331
1981-02-04,0.348551999999999,0,0,0,0.348551999999999,0.0235763579638658,1.54452796658463,6.88204723034603,0.00793562986152719,0,0,0.00793562986152719,0.0235763579638658,0.0724393576592114,0.785627356291192,0.01,"1981",-1.19597596658463
1981-02-05,0,0,0,0,0,0,1.34381161974875,5.53823561059728,0.00858066713950403,0,0,0.00858066713950403,0,0.0235763579638658,0.849486046810899,0.01,"1981",-1.34381161974875
1981-02-06,0,0,0,0,0,0,1.27407936072055,4.26415624987673,0.00873062404774765,0,0,0.00873062404774765,0,0,0.864331780727017,0.01,"1981",-1.27407936072055
1981-02-07,0,0,0,0,0,0,1.05039800315472,3.21375824672201,0.00864331780727017,0,0,0.00864331780727017,0,0,0.855688462919747,0.01,"1981",-1.05039800315472
1981-02-08,0,0,0,0,0,0,0.794574270659569,2.41918397606244,0.00855688462919747,0,0,0.00855688462919747,0,0,0.84713157829055,0.01,"1981",-0.794574270659569
1981-02-09,0,0,0,0,0,0,0.578362946175027,1.84082102988741,0.0084713157829055,0,0,0.0084713157829055,0,0,0.838660262507644,0.01,"1981",-0.578362946175027
1981-02-10,0,0,0,0,0,0,0.530584288197679,1.31023674168973,0.00838660262507644,0,0,0.00838660262507644,0,0,0.830273659882568,0.01,"1981",-0.530584288197679
1981-02-11,0,0,0,0,0,0,0.421049530634055,0.889187211055676,0.00830273659882568,0,0,0.00830273659882568,0,0,0.821970923283742,0.01,"1981",-0.421049530634055
