"Date","Prain","Psnow","SWE","Msnow","Total","Rech","Eac","SM","Qg","Q0","Q1","Q2","STZ","SUZ","SLZ","q_sim","year","WB"
1981-01-01,0.898008,0,0,0,0.898008,0.898008,2.87982148523109,47.1201785147689,0,0,0,0,0.898008,0,0,0,"1981",-1.98181348523109
1981-01-02,0.0206639999999998,0,0,0,0.0206639999999998,0.0189271419326096,2.85292913954997,44.2689862332863,0,0,0,0,0.0189271419326096,0.898008,0,0,"1981",-2.83226513954998
1981-01-03,0.00083999999999976,0,0,0,0.00083999999999976,0.000701505456006572,3.20245597934605,41.0666687484843,0.154887028386522,0,0.153387028386522,0.0015,0.000701505456006572,0.613548113546088,0.1485,0.12,"1981",-3.20161597934605
1981-01-04,0.0126959999999995,0,0,0,0.0126959999999995,0.00948758610793077,3.04996219795451,38.0199149644218,0.0958349238004188,0,0.0928499238004188,0.002985,0.00948758610793077,0.371399695201675,0.295515,0.11,"1981",-3.03726619795451
1981-01-05,0.084264,0,0,0,0.084264,0.0561801576694029,3.78084097308911,34.2671578336633,0.0506326062619212,0,0.0461774562619212,0.00445515,0.0561801576694029,0.184709825047685,0.44105985,0.06,"1981",-3.69657697308911
1981-01-06,0,0,0,0,0,0,3.56653267521281,30.7006251584505,0.0240885950434175,0,0.0181779965434175,0.0059105985,0,0.0727119861736702,0.5851492515,0.03,"1981",-3.56653267521281
1981-01-07,0,0,0,0,0,0,3.80189997573063,26.8987251827199,0.0065786123767367,0,0,0.0065786123767367,0,0,0.651282625296933,0.01,"1981",-3.80189997573063
1981-01-08,0,0,0,0,0,0,3.80872949235599,23.0899956903639,0.00651282625296933,0,0,0.00651282625296933,0,0,0.644769799043964,0.01,"1981",-3.80872949235599
1981-01-09,0,0,0,0,0,0,4.06455541157734,19.0254402787865,0.00644769799043964,0,0,0.00644769799043964,0,0,0.638322101053524,0.01,"1981",-4.06455541157734
1981-01-10,0,0,0,0,0,0,3.58248150263765,15.4429587761489,0.00638322101053524,0,0,0.00638322101053524,0,0,0.631938880042989,0.01,"1981",-3.58248150263765
1981-01-11,0,0,0,0,0,0,3.90703358825894,11.53592518789,0.00631938880042989,0,0,0.00631938880042989,0,0,0.625619491242559,0.01,"1981",-3.90703358825894
1981-01-12,0.002976,0,0,0,0.002976,0.00033962129858219,2.18889370574948,9.34966786084189,0.00625619491242559,0,0,0.00625619491242559,0.00033962129858219,0,0.619363296330134,0.01,"1981",-2.18591770574948
1981-01-13,0.355967999999999,0,0,0,0.355967999999999,0.0297655357088818,1.48523508302123,8.19063524211178,0.00619363296330134,0,0,0.00619363296330134,0.0297655357088818,0.00033962129858219,0.613169663366832,0.01,"1981",-1.12926708302123
1981-01-14,5.98982399999923,0,0,0,5.98982399999923,0.411764102315547,1.01616751271057,12.7525276270849,0.00613509284665415,0,0,0.00613509284665415,0.411764102315547,0.0297655357088818,0.60737419181876,0.01,"1981",4.97365648728866
