"Date","Prain","Psnow","SWE","Msnow","Total","Rech","Eac","SM","Qg","Q0","Q1","Q2","STZ","SUZ","SLZ","q_sim","year","WB"
1981-01-01,0.01152,0,0,0,0.01152,0.01152,3.09081576327944,46.9091842367206,0,0,0,0,0.01152,0,0,0,"1981",-3.07929576327944
1981-01-02,0.006336,0,0,0,0.006336,0.00576502540323175,2.64888808762973,44.2608671236876,0,0,0,0,0.00576502540323175,0.01152,0,0,"1981",-2.64255208762973
1981-01-03,0.00153599999999976,0,0,0,0.00153599999999976,0.00128240466138712,3.31510882350563,40.9460118955206,0.0001152,0,0,0.0001152,0.00128240466138712,0.00576502540323175,0.0114048,0,"1981",-3.31357282350563
1981-01-04,0.114648,0,0,0,0.114648,0.0853029512456933,2.88489595447174,38.0904609898031,0.000171698254032318,0,0,0.000171698254032318,0.0853029512456933,0.00128240466138712,0.0169981271491994,0,"1981",-2.77024795447174
1981-01-05,0.650088,0,0,0,0.650088,0.434614850283522,2.85237488704014,35.4535592524795,0.000182805318105866,0,0,0.000182805318105866,0.434614850283522,0.0853029512456933,0.0180977264924807,0,"1981",-2.20228688704014
1981-01-06,0,0,0,0,0,0,3.41171339112629,32.0418458613532,0.00103400677738174,0,0,0.00103400677738174,0,0.434614850283522,0.102366670960792,0,"1981",-3.41171339112629
1981-01-07,0,0,0,0,0,0,3.70625170327924,28.335594158074,0.0594466367663124,0,0.0569229700567045,0.00252366670960792,0,0.227691880226818,0.249843004251184,0.05,"1981",-3.70625170327924
1981-01-08,0,0,0,0,0,0,3.83354512125782,24.5020490368161,0.0195368060878755,0,0.0155383760453636,0.00399843004251184,0,0.0621535041814544,0.395844574208672,0.03,"1981",-3.83354512125782
1981-01-09,0,0,0,0,0,0,3.60753254620175,20.8945164906144,0.00457998078390127,0,0,0.00457998078390127,0,0,0.453418097606226,0.01,"1981",-3.60753254620175
1981-01-10,0,0,0,0,0,0,3.48154872222316,17.4129677683912,0.00453418097606226,0,0,0.00453418097606226,0,0,0.448883916630163,0,"1981",-3.48154872222316
1981-01-11,0,0,0,0,0,0,3.86572986873896,13.5472378996523,0.00448883916630163,0,0,0.00448883916630163,0,0,0.444395077463862,0,"1981",-3.86572986873896
1981-01-12,0.00103199999999976,0,0,0,0.00103199999999976,0.000149397459315106,3.27030581122784,10.2778146909651,0.00444395077463862,0,0,0.00444395077463862,0.000149397459315106,0,0.439951126689223,0,"1981",-3.26927381122784
1981-01-13,0.16872,0,0,0,0.16872,0.0162294618469442,1.94809271044744,8.48221251867073,0.00439951126689223,0,0,0.00439951126689223,0.0162294618469442,0.000149397459315106,0.435551615422331,0,"1981",-1.77937271044744
1981-01-14,14.1625679999988,0,0,0,14.1625679999988,1.02532121316088,1.07796226556396,20.5414970399446,0.00435701012881646,0,0,0.00435701012881646,1.02532121316088,0.0162294618469442,0.431344002752829,0,"1981",13.0846057344348
1981-01-15,3.222192,0,0,0,3.222192,0.863716674057221,1.23628687797392,21.6636854879135,0.00447573464599774,0,0,0.00447573464599774,0.863716674057221,1.02532121316088,0.443097729953776,0,"1981",1.98590512202608
1981-01-16,0,0,0,0,0,0,2.73062277193217,18.9330627159813,0.353738554743158,0,0.34780757744362,0.00593097729953776,0,1.39123030977448,0.587166752654238,0.28,"1981",-2.73062277193217
1981-01-17,0,0,0,0,0,0,2.88490426393705,16.0481584520443,0.255617729481438,0,0.248246061954896,0.00737166752654238,0,0.992984247819584,0.729795085127696,0.28,"1981",-2.88490426393705
