"Date","Prain","Psnow","SWE","Msnow","Total","Rech","Eac","SM","Qg","Q0","Q1","Q2","STZ","SUZ","SLZ","q_sim","year","WB"
1981-01-01,0,0,0,0,0,0,2.48642007752899,47.513579922471,0,0,0,0,0,0,0,0,"1981",-2.48642007752899
1981-01-02,3.93902399999952,0,0,0,3.93902399999952,3.65260993413693,2.42911679021781,45.3708771981158,0,0,0,0,3.65260993413693,0,0,0,"1981",1.50990720978171
1981-01-03,0.0161519999999995,0,0,0,0.0161519999999995,0.0139888147818357,2.15474793455524,43.2182924487787,0.333299374459383,0.333299374459383,0,0,0.333299374459383,3,0,0.26,"1981",-2.13859593455524
1981-01-04,7.34793599999962,0,0,0,7.34793599999962,5.92212830638072,0.663349494760121,43.9807506476375,0.638159874891877,0,0.636659874891877,0.0015,5.92212830638072,2.54663949956751,0.1485,0.57,"1981",6.6845865052395
1981-01-05,0,0,0,0,0,0,1.81639718238564,42.1643534652519,2.54337705310386,1.46106415319036,1.0793278999135,0.002985,1.46106415319036,4.317311599654,0.295515,2.13,"1981",-1.81639718238564
1981-01-06,0,0,0,0,0,0,2.42391023516293,39.7404432300889,1.13013030056887,0,1.12567515056887,0.00445515,0,4.50270060227549,0.44105985,1.44,"1981",-2.42391023516293
1981-01-07,0,0,0,0,0,0,2.21086852261021,37.5295747074787,0.876450718955098,0,0.870540120455098,0.0059105985,0,3.48216048182039,0.5851492515,0.93,"1981",-2.21086852261021
1981-01-08,0,0,0,0,0,0,2.26258227202946,35.2669924354493,0.673783588879079,0,0.666432096364079,0.007351492515,0,2.66572838545632,0.727797758985,0.72,"1981",-2.26258227202946
1981-01-09,0,0,0,0,0,0,2.22375923634042,33.0432331991088,0.511923654681113,0,0.503145677091263,0.00877797758985,0,2.01258270836505,0.86901978139515,0.55,"1981",-2.22375923634042
1981-01-10,7.2e-05,0,0,0,7.2e-05,3.90030924444776e-05,2.23570150218552,30.8075646938309,0.382706739486962,0,0.372516541673011,0.0101901978139515,3.90030924444776e-05,1.49006616669204,1.0088295835812,0.41,"1981",-2.23562950218552
1981-01-11,2.4e-05,0,0,0,2.4e-05,1.17205648353193e-05,2.5277232653851,28.2798537078809,0.279609329792709,0,0.268021033956897,0.011588295835812,1.17205648353193e-05,1.07208413582759,1.14724128774539,0.3,"1981",-2.5276992653851
1981-01-12,0,0,0,0,0,0,2.16133865322031,26.1185150546606,0.197391584155939,0,0.184419171278485,0.0129724128774539,0,0.73767668511394,1.28426887486793,0.22,"1981",-2.16133865322031
1981-01-13,0,0,0,0,0,0,2.06851768287255,24.0499973717881,0.131878025771467,0,0.117535337022788,0.0143426887486793,0,0.470141348091152,1.41992618611925,0.15,"1981",-2.06851768287255
1981-01-14,0.177,0,0,0,0.177,0.0599167032019209,2.71753252854495,21.4495481400412,0.0797275314794229,0,0.0640282696182304,0.0156992618611925,0.0599167032019209,0.256113078472921,1.55422692425806,0.09,"1981",-2.54053252854495
1981-01-15,0.006504,0,0,0,0.006504,0.00185867640046079,2.92279071840336,18.5314027452374,0.0502482255775491,0,0.0332059563349685,0.0170422692425806,0.00185867640046079,0.132823825339874,1.68718465501548,0.06,"1981",-2.91628671840336
1981-01-16,0,0,0,0,0,0,2.38856673906688,16.1428360061705,0.0182000848035535,0,0,0.0182000848035535,0,0.00185867640046079,1.8018083955518,0.03,"1981",-2.38856673906688
1981-01-17,7.2e-05,0,0,0,7.2e-05,1.35103638597332e-05,2.69326563112591,13.4496288646807,0.0180366707195226,0,0,0.0180366707195226,1.35103638597332e-05,0,1.78563040123274,0.02,"1981",-2.69319363112591
1981-01-18,0,0,0,0,0,0,2.50056518253099,10.9490636821497,0.0178563040123274,0,0,0.0178563040123274,0,1.35103638597332e-05,1.76777409722041,0.02,"1981",-2.50056518253099
1981-01-19,0,0,0,0,0,0,2.16222209303145,8.78684158911829,0.0176778760758427,0,0,0.0176778760758427,0,0,1.75010973150843,0.02,"1981",-2.16222209303145
1981-01-20,0,0,0,0,0,0,1.46065202423214,7.32618956488616,0.0175010973150843,0,0,0.0175010973150843,0,0,1.73260863419334,0.02,"1981",-1.46065202423214
1981-01-21,0,0,0,0,0,0,1.29493994631044,6.03124961857572,0.0173260863419334,0,0,0.0173260863419334,0,0,1.71528254785141,0.02,"1981",-1.29493994631044
1981-01-22,2.69164799999904,0,0,0,2.69164799999904,0.117637413422799,0.786769005969423,7.81849119918254,0.0171528254785141,0,0,0.0171528254785141,0.117637413422799,0,1.6981297223729,0.02,"1981",1.90487899402962
1981-01-23,2.62449599999961,0,0,0,2.62449599999961,0.168419462581644,0.706843524139575,9.56772421246093,0.016981297223729,0,0,0.016981297223729,0.168419462581644,0.117637413422799,1.68114842514917,0.02,"1981",1.91765247586004
1981-01-24,0.625679999999999,0,0,0,0.625679999999999,0.0541344172564547,1.54621099314415,8.59305880206033,0.0179878583857197,0,0,0.0179878583857197,0.0541344172564547,0.168419462581644,1.78079798018625,0.02,"1981",-0.920530993144146
1981-01-25,0.00559199999999976,0,0,0,0.00559199999999976,0.000412696015765787,1.3956111592926,7.20262694675197,0.0338187557694823,0,0.0145107759676198,0.0193079798018625,0.000412696015765787,0.0580431038704793,1.91149000038438,0.03,"1981",-1.3900191592926
1981-01-26,9.59999999999999e-05,0,0,0,9.59999999999999e-05,5.45609835303983e-06,0.865069595214131,6.33764789543949,0.0196953310425486,0,0,0.0196953310425486,5.45609835303983e-06,0.000412696015765787,1.94983777321232,0.02,"1981",-0.864973595214131
