"Date","Prain","Psnow","SWE","Msnow","Total","Rech","Eac","SM","Qg","Q0","Q1","Q2","STZ","SUZ","SLZ","q_sim","year","WB"
1981-01-01,0,0,0,0,0,0,3.26692792345097,46.733072076549,0,0,0,0,0,0,0,0,"1981",-3.26692792345097
1981-01-02,0.001128,0,0,0,0.001128,0.00102065155874695,3.85112349000969,42.8820559349806,0,0,0,0,0.00102065155874695,0,0,0,"1981",-3.84999549000969
1981-01-03,0,0,0,0,0,0,3.27539682745405,39.6066591075266,0,0,0,0,0,0.00102065155874695,0,0,"1981",-3.27539682745405
1981-01-04,0.00261599999999952,0,0,0,0.00261599999999952,0.0018529303064528,3.45019321345009,36.15722896377,1.02065155874695e-05,0,0,1.02065155874695e-05,0.0018529303064528,0,0.00101044504315948,0,"1981",-3.44757721345009
1981-01-05,0,0,0,0,0,0,3.07215134077983,33.0850776229902,1.01044504315948e-05,0,0,1.01044504315948e-05,0,0.0018529303064528,0.00100034059272789,0,"1981",-3.07215134077983
1981-01-06,0,0,0,0,0,0,2.80559017346556,30.2794874495246,2.85327089918069e-05,0,0,2.85327089918069e-05,0,0,0.00282473819018888,0,"1981",-2.80559017346556
1981-01-07,0,0,0,0,0,0,2.81160042476668,27.4678870247579,2.82473819018888e-05,0,0,2.82473819018888e-05,0,0,0.00279649080828699,0,"1981",-2.81160042476668
1981-01-08,0,0,0,0,0,0,2.86889729187029,24.5989897328876,2.79649080828699e-05,0,0,2.79649080828699e-05,0,0,0.00276852590020412,0,"1981",-2.86889729187029
1981-01-09,0,0,0,0,0,0,2.64058019070373,21.9584095421839,2.76852590020412e-05,0,0,2.76852590020412e-05,0,0,0.00274084064120208,0,"1981",-2.64058019070373
1981-01-10,0,0,0,0,0,0,2.5483836930083,19.4100258491756,2.74084064120208e-05,0,0,2.74084064120208e-05,0,0,0.00271343223479006,0,"1981",-2.5483836930083
1981-01-11,0,0,0,0,0,0,2.87184160119416,16.5381842479815,2.71343223479006e-05,0,0,2.71343223479006e-05,0,0,0.00268629791244216,0,"1981",-2.87184160119416
1981-01-12,0,0,0,0,0,0,3.33565523331047,13.202529014671,2.68629791244216e-05,0,0,2.68629791244216e-05,0,0,0.00265943493331774,0,"1981",-3.33565523331047
1981-01-13,0.00040799999999976,0,0,0,0.00040799999999976,5.68534874565323e-05,3.00218826479351,10.20069189639,2.65943493331774e-05,0,0,2.65943493331774e-05,5.68534874565323e-05,0,0.00263284058398456,0,"1981",-3.00178026479351
1981-01-14,0.00376799999999952,0,0,0,0.00376799999999952,0.000358432301178847,1.73240746774582,8.47169399634302,2.63284058398456e-05,0,0,2.63284058398456e-05,0.000358432301178847,5.68534874565323e-05,0.00260651217814472,0,"1981",-1.72863946774582
1981-01-15,1.34608799999942,0,0,0,1.34608799999942,0.097273340760532,0.813547071737378,8.90696158384453,2.66336566560125e-05,0,0,2.66336566560125e-05,0.097273340760532,0.000358432301178847,0.00263673200894524,0,"1981",0.532540928262047
1981-01-16,1.497576,0,0,0,1.497576,0.116550205142908,0.959377611067101,9.32860976763452,2.99516431012408e-05,0,0,2.99516431012408e-05,0.116550205142908,0.097273340760532,0.00296521266702284,0,"1981",0.538198388932899
1981-01-17,0,0,0,0,0,0,1.51612502736583,7.81248474026869,0.00100238553427555,0,0,0.00100238553427555,0,0.116550205142908,0.0992361678932793,0,"1981",-1.51612502736583
1981-01-18,0,0,0,0,0,0,1.61851972148934,6.19396501877935,0.00215786373036187,0,0,0.00215786373036187,0,0,0.213628509305825,0,"1981",-1.61851972148934
