"Date","Prain","Psnow","SWE","Msnow","Total","Rech","Eac","SM","Qg","Q0","Q1","Q2","STZ","SUZ","SLZ","q_sim","year","WB"
1981-01-01,0,0,0,0,0,0,3.02146388846821,46.9785361115318,0,0,0,0,0,0,0,0,"1981",-3.02146388846821
1981-01-02,0.041616,0,0,0,0.041616,0.0379486174625292,2.60495151877366,44.3772519752956,0,0,0,0,0.0379486174625292,0,0,0,"1981",-2.56333551877366
1981-01-03,0.113184,0,0,0,0.113184,0.0948651792607561,2.9656123906126,41.4299584054222,0,0,0,0,0.0948651792607561,0.0379486174625292,0,0,"1981",-2.8524283906126
1981-01-04,6.46043999999942,0,0,0,6.46043999999942,4.8911608699412,1.09038720134296,41.9088503341375,0.000379486174625292,0,0,0.000379486174625292,4.8911608699412,0.0948651792607561,0.0375691312879039,0,"1981",5.37005279865646
1981-01-05,0.316127999999999,0,0,0,0.316127999999999,0.243444441680363,1.52006568240272,40.4614682100544,1.06862699891627,1.06730265581078,0,0.0013243431054866,1.06730265581078,3,0.131109967443173,0.84,"1981",-1.20393768240272
1981-01-06,0.0264959999999998,0,0,0,0.0264959999999998,0.0193698533483819,2.11503206627929,38.3535622904267,0.786271630836588,0,0.783460531162157,0.00281109967443173,0.0193698533483819,3.13384212464863,0.278298867768742,0.85,"1981",-2.08853606627929
1981-01-07,0,0,0,0,0,0,2.5784799141919,35.7750823762348,0.604925384277089,0,0.600642395599402,0.00428298867768742,0,2.40256958239761,0.424015879091054,0.64,"1981",-2.5784799141919
1981-01-08,0,0,0,0,0,0,2.57441033089057,33.2006720453443,0.456254075270432,0,0.450513916479521,0.00574015879091054,0,1.80205566591809,0.568275720300144,0.49,"1981",-2.57441033089057
1981-01-09,0,0,0,0,0,0,2.58185399099189,30.6188180543524,0.337593890386619,0,0.330411133183617,0.00718275720300144,0,1.32164453273447,0.711092963097142,0.36,"1981",-2.58185399099189
1981-01-10,0,0,0,0,0,0,2.58374565002868,28.0350724043237,0.242939836177865,0,0.234328906546894,0.00861092963097142,0,0.937315626187575,0.852482033466171,0.26,"1981",-2.58374565002868
1981-01-11,0,0,0,0,0,0,2.61115384195449,25.4239185623692,0.167487945572177,0,0.157463125237515,0.0100248203346617,0,0.62985250095006,0.992457213131509,0.18,"1981",-2.61115384195449
1981-01-12,0.002424,0,0,0,0.002424,0.000890873196083467,2.65477362933232,22.7706780598408,0.107395072321327,0,0.0959705001900121,0.0114245721313151,0.000890873196083467,0.383882000760048,1.13103264100019,0.12,"1981",-2.65234962933232
1981-01-13,0,0,0,0,0,0,2.54962875126666,20.2210493085742,0.0597649012012283,0,0.0469545747912263,0.0128103264100019,0,0.187818299164905,1.26822231459019,0.07,"1981",-2.54962875126666
1981-01-14,0.00775199999999976,0,0,0,0.00775199999999976,0.00203014760994593,2.60588743546792,17.6208837254963,0.021745882978883,0,0.00756365983298107,0.0141822231459019,0.00203014760994593,0.0302546393319243,1.40404009144429,0.03,"1981",-2.59813543546792
1981-01-15,0,0,0,0,0,0,2.86375198256753,14.7571317429287,0.0143429473077621,0,0,0.0143429473077621,0,0.00203014760994593,1.41995178346845,0.02,"1981",-2.86375198256753
